epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,283.4,1.52383,2.55317,1.42013,2.03336,0,0.33633,0.62725,0.31626,0.12175,0.25487,0.50472,0.21594,0.06313,2.05235,7.21776,4.00415,2.3878,0,0.00332341,0.00332341,0.0700893
2,521.428,1.34639,2.13012,1.28717,1.89563,0,0.65482,0.82005,0.78533,0.44944,0.62403,0.78149,0.7408,0.44317,1.5406,3.66987,1.9046,2.01276,0,0.00665223,0.00665223,0.0400848
3,756.134,1.22937,2.05361,1.20876,1.7778,0,0.74532,0.81249,0.76912,0.35182,0.73753,0.80206,0.76538,0.35177,1.76692,1.36404,2.30411,2.15088,0,0.00996299,0.00996299,0.0100622
4,991.724,1.11424,1.72103,1.05424,1.68849,0,0.78975,0.84576,0.868,0.54957,0.78975,0.84576,0.86696,0.6226,1.34601,0.87641,3.63215,1.73153,0,0.00993906,0.00993906,0.00993906
5,1226.56,1.02958,1.55765,0.97326,1.60784,0,0.76784,0.94344,0.84439,0.50006,0.76366,0.9383,0.84122,0.52034,1.384,1.63733,1.45142,1.83565,0,0.00989183,0.00989183,0.00989183
6,1461.88,0.96398,1.35149,0.88702,1.52967,0,0.94369,0.92545,0.96369,0.71585,0.94106,0.92288,0.96126,0.79074,1.02615,0.99555,0.96723,1.48021,0,0.00983133,0.00983133,0.00983133
7,1698.97,0.90372,1.26019,0.81179,1.46904,0,0.84758,0.92921,0.92734,0.6591,0.84758,0.92921,0.92579,0.69429,1.08065,0.83153,1.07424,1.50348,0,0.00975773,0.00975773,0.00975773
8,1931.83,0.87025,1.1873,0.75581,1.42432,0,0.92197,0.94602,0.96346,0.68367,0.92197,0.94602,0.9634,0.77636,0.99043,0.67968,1.14494,1.47102,0,0.00967122,0.00967122,0.00967122
9,2167.79,0.84595,1.19837,0.76029,1.40764,0,0.90849,0.94427,0.95043,0.66816,0.90351,0.93878,0.94898,0.68971,1.01236,1.20193,1.19456,1.41705,0,0.00957205,0.00957205,0.00957205
10,2402.35,0.80332,1.10288,0.71732,1.36627,0,0.84135,0.92031,0.88777,0.60792,0.84229,0.91986,0.88704,0.64365,0.96963,0.788,1.0051,1.44498,0,0.00946048,0.00946048,0.00946048
11,2635.85,0.78068,1.02201,0.69667,1.33689,0,0.95661,0.9383,0.97015,0.76505,0.95661,0.9383,0.97011,0.82018,0.8909,0.45666,1.14965,1.28479,0,0.00933683,0.00933683,0.00933683
12,2871.45,0.73239,1.02405,0.65976,1.30114,0,0.9356,0.94602,0.9631,0.74023,0.93621,0.94324,0.95923,0.77365,0.92309,0.99158,0.81811,1.39988,0,0.00920142,0.00920142,0.00920142
